"fiber","carb","total_fat","gender","age","education","income"
11.489,151.269,59.385,"Female",63,"illiterate_elementary","I"
38.626,527.927,112.336,"Female",80,"illiterate_elementary","I"
28.672,354.652,90.728,"Male",66,"high_university","III"
10.495,110.907,26.663,"Female",80,"illiterate_elementary","I"
15.883,147.776,78.037,"Female",75,"illiterate_elementary","I"
17.455,134.28,47.01,"Male",68,"illiterate_elementary","I"
13.13,192.752,65.661,"Male",66,"high_university","II"
45.036,252.391,63.637,"Male",68,"illiterate_elementary","I"
23.097,259.566,44.989,"Female",75,"illiterate_elementary","I"
24.821,230.43,78.973,"Male",76,"illiterate_elementary","I"
25.038,345.493,43.751,"Female",75,"illiterate_elementary","I"
6.797,238.888,68.143,"Female",75,"illiterate_elementary","I"
19.184,276.196,47.37,"Male",76,"illiterate_elementary","I"
34.324,371.048,99.678,"Male",78,"illiterate_elementary","I"
11.423,207.458,33.462,"Female",76,"illiterate_elementary","I"
22.335,213.991,23.395,"Female",73,"high_university","I"
20.566,213.885,54.135,"Female",70,"illiterate_elementary","I"
8.304,171.493,19.927,"Male",76,"illiterate_elementary","I"
43.166,283.516,50.218,"Female",69,"illiterate_elementary","I"
45.635,343.948,50.168,"Female",68,"illiterate_elementary","I"
28.441,215.125,68.247,"Male",71,"illiterate_elementary","III"
27.319,227.08,54.898,"Male",81,"illiterate_elementary","I"
20.079,203.238,46.653,"Female",68,"high_university","II"
26.976,255.306,37.517,"Male",80,"high_university","III"
31.901,185.665,149.67,"Female",73,"illiterate_elementary","I"
11.303,161.192,107.951,"Female",64,"high_university","I"
25.502,304.634,117.607,"Male",71,"illiterate_elementary","I"
34.004,289.876,82.807,"Female",68,"illiterate_elementary","I"
8.735,251.692,79.351,"Female",63,"illiterate_elementary","I"
21.192,203.355,63.746,"Female",73,"illiterate_elementary","I"
11.802,122.461,67.181,"Male",71,"illiterate_elementary","I"
26.951,213.309,94.625,"Male",60,"high_university","II"
30.842,269.659,68.652,"Male",61,"illiterate_elementary","I"
8.817,144.593,53.134,"Male",81,"illiterate_elementary","I"
25.233,341.769,98.165,"Female",63,"high_university","I"
10.967,117.166,39.645,"Female",76,"illiterate_elementary","I"
20.751,239.003,71.39,"Male",65,"illiterate_elementary","I"
26.142,277.534,62.012,"Female",62,"illiterate_elementary","I"
21.654,297.382,38.757,"Female",62,"illiterate_elementary","I"
12.174,272.228,50.164,"Male",65,"illiterate_elementary","I"
17.712,249.917,66.785,"Female",71,"illiterate_elementary","I"
26.86,291.507,133.607,"Male",60,"illiterate_elementary","I"
20.673,180.467,23.544,"Female",75,"illiterate_elementary","I"
17.961,227.174,121.183,"Female",61,"illiterate_elementary","I"
18.113,295.037,87.789,"Female",77,"illiterate_elementary","I"
21.877,159.656,46.865,"Female",63,"illiterate_elementary","I"
15.96,213.921,84.967,"Female",84,"illiterate_elementary","I"
10.879,124.933,39.235,"Female",62,"illiterate_elementary","I"
15.702,137.91,67.604,"Male",67,"illiterate_elementary","I"
12.91,144.931,84.268,"Male",60,"illiterate_elementary","I"
16.082,399.711,119.804,"Female",67,"illiterate_elementary","I"
24.83,155.62,67.259,"Male",73,"illiterate_elementary","I"
19.664,156.489,39.613,"Female",76,"illiterate_elementary","I"
1.237,102.446,41.27,"Male",60,"high_university","II"
27.924,205.876,70.391,"Male",63,"high_university","I"
13.087,223.866,110.411,"Male",67,"illiterate_elementary","I"
15.37,135.426,52.424,"Female",63,"high_university","II"
19.504,159.404,49.013,"Female",82,"illiterate_elementary","I"
28.002,208.484,29.526,"Female",79,"illiterate_elementary","I"
22.249,252.11,67.5,"Male",69,"illiterate_elementary","I"
19.384,259.733,111.354,"Male",81,"illiterate_elementary","I"
10.03,215.995,36.378,"Female",80,"illiterate_elementary","I"
17.483,256.02,55.082,"Female",87,"illiterate_elementary","I"
14.386,160.367,59.31,"Female",67,"illiterate_elementary","I"
17.503,292.141,87.134,"Male",81,"illiterate_elementary","I"
16.821,267.202,55.344,"Female",84,"illiterate_elementary","II"
